scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Hmel210001o,1,50000,25009,49896,1866,81.1208,29.8181,0.4624,0.2587,0.1473
Hmel210001o,25001,75000,49984,49860,2147,42.2784,44.9135,-0.0302,-0.0107,-0.0065
Hmel210001o,50001,100000,75014,49831,2335,25.1867,53.544,-0.3602,-0.1181,-0.0665
Hmel210001o,75001,125000,99955,49813,1976,18.8902,22.3944,-0.0849,-0.018,-0.0108
Hmel210001o,100001,150000,124950,49701,2134,57.6299,29.5882,0.3215,0.1047,0.0639
Hmel210001o,125001,175000,149977,49674,2230,149.51,33.1246,0.6373,0.3317,0.1944
Hmel210001o,150001,200000,175014,49809,2183,173.902,29.4305,0.7105,0.3801,0.2236
Hmel210001o,175001,225000,199973,49834,2509,93.8552,36.5302,0.4397,0.17,0.1037
Hmel210001o,200001,250000,224913,49604,2479,58.9027,40.0138,0.191,0.0677,0.0447
Hmel210001o,225001,275000,250028,49730,2754,71.6503,35.3549,0.3392,0.1312,0.0825
Hmel210001o,250001,300000,275000,50000,2404,54.7641,16.3196,0.5408,0.1152,0.0798
Hmel210001o,275001,325000,299921,49818,2606,79.168,60.0857,0.137,0.0513,0.0333
Hmel210001o,300001,350000,325005,49772,3103,119.0049,75.6178,0.2229,0.1712,0.0938
Hmel210001o,325001,375000,350012,49934,3042,129.5441,53.3646,0.4165,0.3369,0.1723
Hmel210001o,350001,400000,374328,47783,2985,179.3378,49.9212,0.5645,0.4468,0.2169
Hmel210001o,375001,425000,400471,47794,2854,188.0987,48.3446,0.5911,0.5346,0.2648
Hmel210001o,400001,450000,424914,49727,2385,95.4067,35.7737,0.4546,0.3491,0.1905
Hmel210001o,425001,475000,450042,49731,2146,68.9269,25.3713,0.4619,0.2368,0.1508
Hmel210001o,450001,500000,474965,49889,2503,103.202,50.2839,0.3448,0.2494,0.1348
Hmel210001o,475001,525000,498676,46881,2553,119.631,56.1494,0.3611,0.3678,0.1606
Hmel210001o,500001,550000,525245,46883,2111,99.5058,32.5106,0.5075,0.4614,0.2124
Hmel210001o,525001,575000,549918,48819,2291,87.1456,35.7164,0.4186,0.3271,0.145
Hmel210001o,550001,600000,575414,48872,3154,125.2421,55.8327,0.3833,0.3706,0.1524
Hmel210001o,575001,625000,599982,48878,3253,138.3753,60.4232,0.3921,0.4413,0.2007
Hmel210001o,600001,650000,625497,48841,3289,131.6815,69.7929,0.3072,0.3294,0.1565
Hmel210001o,625001,675000,650016,49902,3216,116.3821,69.2905,0.2536,0.2553,0.1165
Hmel210001o,650001,700000,674998,49970,2911,85.6108,57.2111,0.1988,0.2067,0.0908
Hmel210001o,675001,725000,699783,48182,2536,65.9301,37.1596,0.2791,0.2659,0.1147
Hmel210001o,700001,750000,725707,48191,2406,59.9548,16.9947,0.5583,0.3406,0.1627
Hmel210001o,725001,775000,749842,49488,2757,71.4082,36.3693,0.3251,0.2383,0.1187
Hmel210001o,750001,800000,775083,49410,3074,102.9253,56.0916,0.2945,0.277,0.149
Hmel210001o,775001,825000,800027,49882,2943,95.1552,50.5718,0.3059,0.2575,0.1342
Hmel210001o,800001,850000,825007,49947,2856,80.5997,47.7456,0.256,0.223,0.1062
Hmel210001o,825001,875000,850008,49899,3217,160.3217,47.1533,0.5455,0.4708,0.2523
Hmel210001o,850001,900000,875012,49782,3187,180.0741,50.5755,0.5615,0.4854,0.2549
Hmel210001o,875001,925000,900046,49858,3259,118.5592,68.5449,0.2673,0.2646,0.1129
Hmel210001o,900001,950000,925000,49996,3620,127.8478,74.2791,0.265,0.2491,0.1049
Hmel210001o,925001,975000,949955,49372,3428,136.8079,61.4149,0.3803,0.2896,0.1379
Hmel210001o,950001,1000000,975270,49374,3083,122.9353,55.0325,0.3815,0.3093,0.1414
Hmel210001o,975001,1025000,999998,49987,3028,100.4264,49.9351,0.3358,0.3159,0.1281
Hmel210001o,1000001,1050000,1024868,49575,3061,69.5322,47.0266,0.1931,0.106,0.0523
Hmel210001o,1025001,1075000,1049828,49079,2748,52.6098,44.9004,0.0791,0.0375,0.0192
Hmel210001o,1050001,1100000,1075003,49419,2259,50.509,37.6531,0.1458,0.0576,0.0346
Hmel210001o,1075001,1125000,1100026,49925,2290,35.9058,21.3551,0.2541,0.0451,0.0325
Hmel210001o,1100001,1150000,1124994,49968,2643,49.3155,14.7911,0.5385,0.0912,0.0639
Hmel210001o,1125001,1175000,1149987,49910,2965,71.1938,35.6521,0.3326,0.1065,0.0693
Hmel210001o,1150001,1200000,1175002,49922,2950,59.4376,47.5806,0.1108,0.0574,0.0346
Hmel210001o,1175001,1225000,1200001,49969,2960,65.5954,59.5003,0.0487,0.0195,0.0124
Hmel210001o,1200001,1250000,1225005,49986,3149,61.4674,63.7931,-0.0186,-0.0042,-0.003
Hmel210001o,1225001,1275000,1249999,49993,3389,64.9991,64.2314,0.0059,0.0013,0.0009
Hmel210001o,1250001,1300000,1275002,49994,3412,119.6919,61.5391,0.3209,0.1276,0.0771
Hmel210001o,1275001,1325000,1299984,49962,3278,117.8693,46.9981,0.4299,0.2396,0.1285
Hmel210001o,1300001,1350000,1324973,49618,3123,77.3497,46.4487,0.2496,0.1091,0.0664
Hmel210001o,1325001,1375000,1350137,49634,2738,91.0354,44.7903,0.3405,0.1579,0.1005
Hmel210001o,1350001,1400000,1375004,49946,2446,89.0734,43.7988,0.3407,0.2101,0.1167
Hmel210001o,1375001,1425000,1400015,49968,2757,149.1446,54.2464,0.4666,0.2997,0.1607
Hmel210001o,1400001,1450000,1425000,49995,3090,175.7366,73.246,0.4116,0.2581,0.1466
Hmel210001o,1425001,1475000,1450002,49995,3291,143.5655,74.5582,0.3164,0.2419,0.1341
Hmel210001o,1450001,1500000,1474996,49990,3312,122.3977,61.6713,0.3299,0.2715,0.1416
Hmel210001o,1475001,1525000,1499889,49280,3036,95.4932,63.6376,0.2002,0.1213,0.0678
Hmel210001o,1500001,1550000,1525248,49288,2952,125.0785,65.1035,0.3154,0.1847,0.1127
Hmel210001o,1525001,1575000,1550000,49988,2640,161.1246,41.0305,0.5941,0.3857,0.2224
Hmel210001o,1550001,1600000,1575002,49979,2379,133.4728,31.3603,0.6195,0.3883,0.2094
Hmel210001o,1575001,1625000,1599886,49737,2540,108.4363,42.3513,0.4383,0.2398,0.1369
Hmel210001o,1600001,1650000,1624990,49659,2580,132.4722,42.3601,0.5154,0.3146,0.1734
Hmel210001o,1625001,1675000,1650018,49867,2777,114.3918,43.6474,0.4476,0.2914,0.1537
Hmel210001o,1650001,1700000,1675014,49953,3137,82.1201,48.0864,0.2614,0.1532,0.0778
Hmel210001o,1675001,1725000,1699804,49150,2945,56.7852,47.3688,0.0904,0.0397,0.0208
Hmel210001o,1700001,1750000,1725152,48818,2746,72.1444,40.2562,0.2837,0.1182,0.0651
Hmel210001o,1725001,1775000,1750085,49657,3079,100.5667,37.5524,0.4562,0.1782,0.1135
Hmel210001o,1750001,1800000,1774974,49864,2801,97.1148,56.9359,0.2608,0.1209,0.0795
Hmel210001o,1775001,1825000,1800036,49872,2528,110.014,59.3699,0.299,0.1789,0.1043
Hmel210001o,1800001,1850000,1824997,49986,2688,103.5798,46.7684,0.3779,0.2343,0.129
Hmel210001o,1825001,1875000,1849993,49955,2940,77.423,50.6528,0.209,0.1249,0.0675
Hmel210001o,1850001,1900000,1874875,49302,3169,91.4343,80.9263,0.061,0.0362,0.0186
Hmel210001o,1875001,1925000,1900120,49068,2732,80.4303,79.1761,0.0079,0.0045,0.0024
Hmel210001o,1900001,1950000,1925046,49735,2671,61.3433,60.9256,0.0034,0.0014,0.0008
Hmel210001o,1925001,1975000,1949953,49886,3222,77.6407,70.3004,0.0496,0.0224,0.0129
Hmel210001o,1950001,2000000,1975004,49861,3037,61.2615,60.4986,0.0063,0.0025,0.0015
Hmel210001o,1975001,2025000,1999996,49950,2975,55.7926,66.7107,-0.0891,-0.0382,-0.0216
Hmel210001o,2000001,2050000,2024955,49357,3404,83.7548,79.5037,0.026,0.0166,0.0094
Hmel210001o,2025001,2075000,2049963,48730,3300,89.7636,66.1806,0.1512,0.099,0.0619
Hmel210001o,2050001,2100000,2074987,49247,3136,107.9612,49.916,0.3677,0.1988,0.1209
Hmel210001o,2075001,2125000,2100011,49899,2904,106.8814,34.1633,0.5156,0.189,0.1193
