scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Hmel218003o,1,50000,27229,45301,1876,15.5915,51.1064,-0.5325,-0.1401,-0.0819
Hmel218003o,25001,75000,50001,49990,1730,44.6019,34.5804,0.1266,0.0498,0.0274
Hmel218003o,50001,100000,74997,49989,1690,56.1635,26.249,0.363,0.2041,0.097
Hmel218003o,75001,125000,99854,49112,1867,45.021,45.1366,-0.0013,-0.0007,-0.0003
Hmel218003o,100001,150000,125300,49121,1925,77.5413,26.6486,0.4885,0.2671,0.1563
Hmel218003o,125001,175000,149998,49929,2341,91.6677,16.0253,0.7024,0.2983,0.1821
Hmel218003o,150001,200000,175030,49900,2431,61.4031,16.3212,0.58,0.1359,0.0883
Hmel218003o,175001,225000,200003,49833,1768,30.9396,6.2333,0.6646,0.0892,0.0579
Hmel218003o,200001,250000,225058,49855,1830,27.0083,5.6375,0.6546,0.09,0.054
Hmel218003o,225001,275000,249971,49610,2003,31.0088,5.3668,0.7049,0.1334,0.0723
Hmel218003o,250001,300000,275160,49617,2205,28.1875,6.434,0.6283,0.1089,0.0655
Hmel218003o,275001,325000,299998,49987,2317,28.7866,8.2324,0.5552,0.0828,0.0589
Hmel218003o,300001,350000,324985,49914,2338,26.6486,25.2382,0.0272,0.0069,0.0041
Hmel218003o,325001,375000,349516,48740,2303,26.6632,42.7052,-0.2313,-0.0776,-0.0421
Hmel218003o,350001,400000,374745,47726,2042,22.0404,126.0036,-0.7022,-0.5031,-0.2242
Hmel218003o,375001,425000,400201,48903,2401,22.8475,106.801,-0.6475,-0.4098,-0.1884
Hmel218003o,400001,450000,425003,49988,2542,23.873,5.5012,0.6254,0.0787,0.0542
Hmel218003o,425001,475000,450001,49992,2575,22.1475,16.3298,0.1512,0.0218,0.0147
Hmel218003o,450001,500000,475003,49995,2657,27.7833,20.7361,0.1452,0.0243,0.016
Hmel218003o,475001,525000,499690,49195,2487,62.8252,22.721,0.4688,0.168,0.1126
Hmel218003o,500001,550000,525099,49195,2669,77.5168,36.3046,0.3621,0.2156,0.1258
Hmel218003o,525001,575000,549697,47852,2718,66.7949,37.0171,0.2868,0.142,0.0836
Hmel218003o,550001,600000,575803,47803,2970,73.5289,49.9421,0.191,0.0823,0.0522
Hmel218003o,575001,625000,599861,49619,2798,57.0263,40.5318,0.1691,0.0552,0.0349
Hmel218003o,600001,650000,625013,49650,2192,40.7453,10.3543,0.5947,0.1361,0.0918
Hmel218003o,625001,675000,650002,49982,2142,30.855,15.8293,0.3219,0.0852,0.0567
Hmel218003o,650001,700000,675000,49998,2389,65.5459,25.1202,0.4459,0.166,0.1055
Hmel218003o,675001,725000,700000,49997,2504,120.8775,21.4389,0.6987,0.3447,0.2109
Hmel218003o,700001,750000,724799,49332,2205,111.5316,18.7892,0.7116,0.4385,0.2381
Hmel218003o,725001,775000,750042,49096,2715,105.9963,31.8397,0.538,0.3672,0.1802
Hmel218003o,750001,800000,775017,49714,2725,178.7364,25.3569,0.7515,0.5712,0.289
Hmel218003o,775001,825000,800016,49950,2127,281.5005,9.9259,0.9319,0.7596,0.3874
Hmel218003o,800001,850000,825001,49999,2391,190.4944,15.3128,0.8512,0.533,0.2831
Hmel218003o,825001,875000,850000,50000,2460,70.1408,26.8648,0.4461,0.1267,0.081
Hmel218003o,850001,900000,875000,49997,2805,73.1799,27.8135,0.4492,0.1219,0.08
Hmel218003o,875001,925000,899383,46938,2909,62.9552,33.8736,0.3003,0.1195,0.0663
Hmel218003o,900001,950000,926012,46924,2680,55.2996,34.2982,0.2344,0.1085,0.0537
Hmel218003o,925001,975000,949926,49804,3248,59.1845,51.5359,0.0691,0.0272,0.0143
Hmel218003o,950001,1000000,975006,49818,3863,72.0633,85.215,-0.0836,-0.0419,-0.0212
Hmel218003o,975001,1025000,999323,46333,3557,55.7569,70.0874,-0.1139,-0.0555,-0.0287
Hmel218003o,1000001,1050000,1026295,46307,3336,53.4365,46.2421,0.0722,0.0235,0.0142
Hmel218003o,1025001,1075000,1050010,49971,3648,95.6609,68.6898,0.1641,0.07,0.0422
Hmel218003o,1050001,1100000,1075000,50000,3606,92.61,68.8794,0.1469,0.0721,0.0403
Hmel218003o,1075001,1125000,1100000,50000,3647,60.2717,41.3928,0.1857,0.0728,0.038
Hmel218003o,1100001,1150000,1124227,48447,3589,63.9349,43.4759,0.1905,0.0795,0.0394
Hmel218003o,1125001,1175000,1148760,45646,3099,58.4993,40.1629,0.1859,0.0797,0.0403
Hmel218003o,1150001,1200000,1175186,46319,2685,57.9385,26.2333,0.3767,0.1588,0.0887
Hmel218003o,1175001,1225000,1200370,49069,2816,94.5507,24.6861,0.5859,0.3536,0.2186
Hmel218003o,1200001,1250000,1225011,49922,3090,112.0625,39.4365,0.4794,0.3148,0.1984
Hmel218003o,1225001,1275000,1249743,48653,2964,92.4048,48.1923,0.3145,0.1865,0.1151
Hmel218003o,1250001,1300000,1275398,48634,3015,88.3235,54.5276,0.2366,0.1656,0.0882
Hmel218003o,1275001,1325000,1297016,43624,2572,68.903,50.0165,0.1588,0.0964,0.0435
Hmel218003o,1300001,1350000,1325629,42441,2464,76.6557,45.7182,0.2528,0.1246,0.0635
Hmel218003o,1325001,1375000,1350595,48722,3276,90.6826,65.2985,0.1627,0.1028,0.0568
Hmel218003o,1350001,1400000,1375005,49917,3298,74.0835,62.0054,0.0888,0.0634,0.0319
Hmel218003o,1375001,1425000,1399891,49716,3100,86.2627,53.4033,0.2353,0.1693,0.0891
Hmel218003o,1400001,1450000,1424966,49579,3174,93.9829,69.8176,0.1475,0.116,0.0604
Hmel218003o,1425001,1475000,1449697,48326,2911,78.8758,68.456,0.0707,0.0607,0.029
Hmel218003o,1450001,1500000,1475416,48475,3116,81.037,65.3064,0.1075,0.0944,0.0481
Hmel218003o,1475001,1525000,1500004,49978,3302,74.1231,57.3745,0.1274,0.0902,0.0427
Hmel218003o,1500001,1550000,1524995,49977,3284,79.153,54.6753,0.1829,0.1276,0.0575
Hmel218003o,1525001,1575000,1549985,49912,3272,91.1615,73.8368,0.105,0.0771,0.0364
Hmel218003o,1550001,1600000,1575010,49928,3074,83.9557,78.9876,0.0305,0.0229,0.0103
Hmel218003o,1575001,1625000,1599737,49014,2798,90.0689,60.8015,0.194,0.1708,0.0743
Hmel218003o,1600001,1650000,1625034,46779,2536,65.4088,52.2991,0.1114,0.086,0.0404
Hmel218003o,1625001,1675000,1650965,47740,2743,66.375,60.7618,0.0442,0.0282,0.0141
Hmel218003o,1650001,1700000,1675008,49980,3109,86.2617,61.4624,0.1679,0.1209,0.0575
Hmel218003o,1675001,1725000,1699978,49768,2886,70.1128,54.927,0.1214,0.1036,0.0438
Hmel218003o,1700001,1750000,1725092,49768,2765,79.8754,61.9154,0.1267,0.1227,0.0492
Hmel218003o,1725001,1775000,1750000,49991,2757,76.7778,59.4719,0.127,0.112,0.0469
Hmel218003o,1750001,1800000,1775002,49987,2695,89.1096,48.5149,0.295,0.1841,0.0918
Hmel218003o,1775001,1825000,1799983,49946,3009,97.6183,62.4277,0.2199,0.1419,0.0703
