scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Hmel215003o,1,50000,25362,48742,1840,7.0336,9.1691,-0.1318,-0.0076,-0.0066
Hmel215003o,25001,75000,49999,49974,2595,10.5885,12.0677,-0.0653,-0.0037,-0.0033
Hmel215003o,50001,100000,74134,46910,1974,7.7689,4.4512,0.2715,0.0101,0.0091
Hmel215003o,75001,125000,100537,46372,1623,4.4648,2.2878,0.3224,0.0068,0.0063
Hmel215003o,100001,150000,125061,49437,2029,3.793,3.3607,0.0604,0.0011,0.001
Hmel215003o,125001,175000,149996,49978,2061,2.8021,3.224,-0.07,-0.001,-0.0009
Hmel215003o,150001,200000,175002,49979,2127,2.0501,3.3678,-0.2432,-0.0034,-0.0031
Hmel215003o,175001,225000,199984,49895,2367,10.1999,8.7832,0.0746,0.0037,0.0033
Hmel215003o,200001,250000,225023,49849,3337,33.9191,29.1621,0.0754,0.014,0.0114
Hmel215003o,225001,275000,250015,49950,3977,47.0229,47.4795,-0.0048,-0.0022,-0.0016
Hmel215003o,250001,300000,275000,49997,3786,54.7441,63.2458,-0.0721,-0.0446,-0.0294
Hmel215003o,275001,325000,299998,49987,3249,36.6734,46.1543,-0.1145,-0.0356,-0.0273
Hmel215003o,300001,350000,325001,49988,3071,35.3932,22.6189,0.2202,0.0465,0.0332
Hmel215003o,325001,375000,350001,49997,3738,56.1063,34.5595,0.2377,0.074,0.0466
Hmel215003o,350001,400000,374667,48570,3820,44.1434,40.357,0.0448,0.0135,0.0091
Hmel215003o,375001,425000,400336,48432,3647,41.2754,40.8622,0.005,0.0017,0.0012
Hmel215003o,400001,450000,424993,49610,3653,55.4813,53.6097,0.0172,0.0083,0.0056
Hmel215003o,425001,475000,450114,49631,3897,60.901,57.3176,0.0303,0.0139,0.0098
Hmel215003o,450001,500000,474571,48821,4077,52.6369,47.4477,0.0518,0.0168,0.0124
Hmel215003o,475001,525000,500053,48876,4149,55.314,53.8262,0.0136,0.0046,0.0033
