scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Hmel210001o,1,50000,25009,49896,2136,132.0273,7.2096,0.8964,0.5881,0.2875
Hmel210001o,25001,75000,49984,49860,2482,204.3078,7.5814,0.9284,0.6875,0.3324
Hmel210001o,50001,100000,75014,49831,2660,198.6466,10.8202,0.8967,0.5533,0.2843
Hmel210001o,75001,125000,99955,49813,2223,169.2,10.1604,0.8867,0.5178,0.2594
Hmel210001o,100001,150000,124950,49701,2410,174.0837,19.6375,0.7973,0.5392,0.2722
Hmel210001o,125001,175000,149977,49674,2545,196.3425,25.863,0.7672,0.4589,0.257
Hmel210001o,150001,200000,175014,49809,2480,158.3718,40.7176,0.591,0.3182,0.1725
Hmel210001o,175001,225000,199973,49834,2883,145.6015,62.5765,0.3988,0.2598,0.1246
Hmel210001o,200001,250000,224913,49604,3026,166.9554,46.9086,0.5613,0.384,0.1996
Hmel210001o,225001,275000,250028,49730,3249,176.6867,23.9961,0.7609,0.4878,0.2594
Hmel210001o,250001,300000,275000,50000,2795,221.5175,15.0026,0.8731,0.5961,0.3123
Hmel210001o,275001,325000,299921,49818,3066,216.2226,31.3865,0.7465,0.5278,0.288
Hmel210001o,300001,350000,325005,49772,3453,164.6713,37.4115,0.6297,0.4222,0.2314
Hmel210001o,325001,375000,350012,49934,3185,194.4599,22.1394,0.7956,0.5183,0.2889
Hmel210001o,350001,400000,374328,47783,3202,185.6908,27.5151,0.7419,0.4868,0.25
Hmel210001o,375001,425000,400471,47794,3318,154.5414,26.0043,0.7119,0.449,0.2272
Hmel210001o,400001,450000,424914,49727,2724,141.0969,15.5854,0.8011,0.4387,0.2563
Hmel210001o,425001,475000,450042,49731,2429,116.8609,40.2553,0.4876,0.1856,0.1276
Hmel210001o,450001,500000,474965,49889,2821,110.1947,61.7958,0.2814,0.1251,0.0772
Hmel210001o,475001,525000,498676,46881,2711,112.0859,52.3296,0.3634,0.2285,0.1153
Hmel210001o,500001,550000,525245,46883,2185,66.6548,28.4038,0.4024,0.164,0.0941
Hmel210001o,525001,575000,549918,48819,2536,39.8576,17.3139,0.3943,0.1193,0.0642
Hmel210001o,550001,600000,575414,48872,3535,84.7806,44.7955,0.3086,0.1576,0.0771
Hmel210001o,575001,625000,599982,48878,3548,116.0756,51.5607,0.3849,0.2332,0.1223
Hmel210001o,600001,650000,625497,48841,3524,121.6831,46.7828,0.4446,0.2746,0.1512
Hmel210001o,625001,675000,650016,49902,3523,107.7277,46.6611,0.3955,0.2267,0.1192
Hmel210001o,650001,700000,674998,49970,3297,81.1425,34.8814,0.3987,0.2301,0.1089
Hmel210001o,675001,725000,699783,48182,2832,87.6487,21.1265,0.6116,0.3189,0.1534
Hmel210001o,700001,750000,725707,48191,2661,86.0594,14.7771,0.7069,0.3037,0.1535
Hmel210001o,725001,775000,749842,49488,3082,62.9821,30.9744,0.3407,0.1355,0.0739
Hmel210001o,750001,800000,775083,49410,3438,71.1417,44.0361,0.2353,0.0994,0.0598
Hmel210001o,775001,825000,800027,49882,3227,82.847,41.9686,0.3275,0.168,0.0929
Hmel210001o,800001,850000,825007,49947,3263,80.0426,48.9461,0.2411,0.1264,0.0659
Hmel210001o,825001,875000,850008,49899,3638,125.7256,47.0579,0.4553,0.2442,0.1372
Hmel210001o,850001,900000,875012,49782,3638,144.2028,47.3969,0.5053,0.3356,0.174
Hmel210001o,875001,925000,900046,49858,3712,126.2229,52.8586,0.4097,0.2767,0.1319
Hmel210001o,900001,950000,925000,49996,4068,135.2486,56.3007,0.4122,0.2759,0.1327
Hmel210001o,925001,975000,949955,49372,3962,126.8178,57.5674,0.3756,0.2515,0.1198
Hmel210001o,950001,1000000,975270,49374,3442,94.2461,41.7464,0.386,0.2073,0.1058
Hmel210001o,975001,1025000,999998,49987,3341,49.5878,40.5944,0.0997,0.0366,0.0199
Hmel210001o,1000001,1050000,1024868,49575,3443,41.0333,39.1312,0.0237,0.0068,0.0038
Hmel210001o,1025001,1075000,1049828,49079,3067,39.9916,30.7326,0.1309,0.0372,0.0211
Hmel210001o,1050001,1100000,1075003,49419,2494,40.1612,27.6967,0.1837,0.0474,0.0306
Hmel210001o,1075001,1125000,1100026,49925,2604,75.0887,24.0251,0.5152,0.1992,0.1166
Hmel210001o,1100001,1150000,1124994,49968,2659,142.4018,13.8431,0.8228,0.5712,0.2815
Hmel210001o,1125001,1175000,1149987,49910,3065,130.2385,29.8843,0.6267,0.3868,0.1974
Hmel210001o,1150001,1200000,1175002,49922,3382,68.2861,41.8375,0.2402,0.1126,0.0584
Hmel210001o,1175001,1225000,1200001,49969,3390,77.5562,41.317,0.3049,0.1403,0.0811
Hmel210001o,1200001,1250000,1225005,49986,3587,97.1741,40.1675,0.4151,0.1409,0.0941
Hmel210001o,1225001,1275000,1249999,49993,3828,117.9461,37.1655,0.5208,0.188,0.1214
Hmel210001o,1250001,1300000,1275002,49994,3765,85.2307,38.3259,0.3796,0.1227,0.0778
Hmel210001o,1275001,1325000,1299984,49962,3549,45.126,27.9688,0.2347,0.0484,0.0321
Hmel210001o,1300001,1350000,1324973,49618,3498,63.4888,39.16,0.237,0.079,0.0489
Hmel210001o,1325001,1375000,1350137,49634,3124,77.8034,42.8486,0.2897,0.1322,0.0779
Hmel210001o,1350001,1400000,1375004,49946,2787,86.2331,31.8765,0.4602,0.2045,0.1201
Hmel210001o,1375001,1425000,1400015,49968,3137,98.4964,48.6933,0.3384,0.125,0.0758
Hmel210001o,1400001,1450000,1425000,49995,3720,102.3555,58.6878,0.2712,0.1151,0.0658
Hmel210001o,1425001,1475000,1450002,49995,3986,112.8532,54.2511,0.3507,0.2032,0.1048
